year,field,subfield,median_ref_age,mean_ref_age,p25,p75,n_papers,n_references,total_refs,ref_resolution_rate
2011,Medicine,All,7.0,9.281422440220723,4.0,12.0,50,1631,1797,0.912
2012,Medicine,All,7.0,12.259647188533627,3.0,14.0,50,1814,2028,0.898
2013,Medicine,All,7.0,9.710882512181916,3.0,13.0,50,1847,2005,0.924
2014,Medicine,All,7.0,10.313411078717202,4.0,13.0,50,1372,1485,0.928
2015,Medicine,All,9.0,12.289303661162958,4.0,16.0,50,1393,1537,0.909
2016,Medicine,All,7.0,10.412244897959184,4.0,14.0,50,1470,1629,0.904
2017,Medicine,All,8.0,11.782274947662247,4.0,15.0,50,1433,1580,0.907
2018,Medicine,All,9.0,11.640829202343397,5.0,16.0,50,4438,4736,0.937
2019,Medicine,All,9.0,12.665051483949123,5.0,16.0,50,1651,1991,0.83
2020,Medicine,All,8.0,11.337931034482759,5.0,14.0,50,1015,1541,0.659
2021,Medicine,All,11.0,13.600186393289842,7.0,17.0,50,1073,1621,0.662
2000,Physics and Astronomy,All,6.0,10.400254129606099,3.0,14.0,50,787,889,0.898
2001,Physics and Astronomy,All,7.0,10.702013422818792,3.0,14.0,50,745,831,0.907
2002,Physics and Astronomy,All,7.0,10.013245033112582,3.0,12.0,50,604,701,0.882
2003,Physics and Astronomy,All,7.0,11.077586206896552,3.0,14.0,50,812,905,0.903
2004,Physics and Astronomy,All,7.0,11.609467455621301,3.0,16.0,50,1014,1171,0.886
2005,Physics and Astronomy,All,6.0,10.765664160401002,3.0,14.75,50,798,950,0.855
2006,Physics and Astronomy,All,8.0,11.35483870967742,3.0,15.0,50,1178,1324,0.9
2007,Physics and Astronomy,All,8.0,11.612670408981556,4.0,16.0,50,1247,1458,0.862
2008,Physics and Astronomy,All,7.0,11.480274442538594,3.0,15.0,50,1166,1331,0.883
2009,Physics and Astronomy,All,7.0,10.597633136094675,3.0,14.0,50,1183,1418,0.841
2010,Physics and Astronomy,All,7.0,10.669650122050447,3.0,12.0,50,1229,1384,0.892
2011,Physics and Astronomy,All,6.0,9.821015138023153,3.0,13.0,50,1123,1344,0.842
2012,Physics and Astronomy,All,8.0,15.06269592476489,4.0,18.0,50,1276,1577,0.822
2013,Physics and Astronomy,All,6.0,10.278447121820616,3.0,13.0,50,1494,1828,0.823
2014,Physics and Astronomy,All,10.0,13.360527894421116,5.0,17.0,50,1667,2010,0.835
2015,Physics and Astronomy,All,7.0,11.790220820189274,3.0,16.0,50,1268,1465,0.87
2016,Physics and Astronomy,All,10.0,14.28995756718529,5.0,20.0,50,1414,1676,0.846
2017,Physics and Astronomy,All,9.0,14.957374254049446,3.0,21.0,50,1173,1381,0.853
2018,Physics and Astronomy,All,8.0,12.727344365642239,4.0,17.0,50,1269,1575,0.807
2019,Physics and Astronomy,All,11.0,15.633165829145728,6.0,20.0,50,995,1339,0.745
2020,Physics and Astronomy,All,13.0,16.985529322162986,6.0,23.0,50,1313,1966,0.668
2000,Mathematics,All,7.0,10.70735090152566,3.0,14.0,50,721,989,0.767
2001,Mathematics,All,9.0,13.136507936507936,4.0,18.0,50,630,835,0.783
2002,Mathematics,All,12.0,14.38996138996139,5.0,19.0,50,518,661,0.82
2003,Mathematics,All,8.0,13.583333333333334,3.0,18.0,50,684,890,0.794
2004,Mathematics,All,10.0,14.607669616519175,4.0,23.0,50,678,880,0.792
2005,Mathematics,All,10.0,14.811572700296736,4.0,21.0,50,674,894,0.786
2006,Mathematics,All,9.0,13.02454991816694,3.0,19.0,50,611,787,0.804
2007,Mathematics,All,11.0,14.857707509881424,5.0,20.0,50,759,939,0.835
2008,Mathematics,All,9.0,15.212912087912088,4.0,20.0,50,728,896,0.828
2009,Mathematics,All,10.0,13.930730478589421,4.0,19.0,50,794,1010,0.813
2010,Mathematics,All,9.0,14.122123893805309,4.0,20.0,50,565,767,0.763
2011,Mathematics,All,9.0,13.117312072892938,4.0,19.0,50,878,1136,0.796
2012,Mathematics,All,9.0,18.046659597030754,4.0,24.0,50,943,1212,0.795
2013,Mathematics,All,9.0,14.134370579915135,4.0,20.0,50,707,880,0.817
2014,Mathematics,All,13.0,17.294236602628917,5.0,25.0,50,989,1233,0.807
2015,Mathematics,All,11.0,16.242894056847547,4.0,23.0,50,774,954,0.824
2016,Mathematics,All,10.0,15.752283105022832,4.0,23.0,50,876,1064,0.829
2017,Mathematics,All,11.0,17.26143790849673,5.0,22.0,50,918,1163,0.799
2018,Mathematics,All,10.0,15.527665317139002,5.0,20.0,50,741,981,0.758
2019,Mathematics,All,12.0,17.106546854942234,6.0,24.0,50,779,1181,0.66
2020,Mathematics,All,12.0,16.83845126835781,6.0,22.0,50,749,1180,0.635
2000,Chemistry,All,8.0,10.8909541511772,4.0,16.0,50,807,969,0.844
2001,Chemistry,All,8.0,11.427472527472528,3.25,15.0,50,910,1034,0.881
2002,Chemistry,All,8.0,11.472182596291013,3.0,16.0,50,701,823,0.864
2003,Chemistry,All,8.0,11.477341389728096,4.0,15.0,50,662,769,0.867
2004,Chemistry,All,6.0,10.715264187866927,3.0,13.0,50,1022,1138,0.902
2005,Chemistry,All,6.0,10.111436950146627,3.0,13.0,50,1023,1185,0.869
